model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,num_hidden_layers,units,rate,num_passes,lr,pickle_file
mc,noisy_hartmann6,ts,60,50,4,-3.32237,-3.563241845751811,50,641.072,4572.972,5,100,0.1,50,0.001,mc_ts_noisy_hartmann6_L5_n100_dr1e1_lr1e3_noisy__seed4.pkl
mc,noisy_hartmann6,ts,60,50,0,-3.32237,-3.5719165521792604,50,635.023,4640.729,5,100,0.1,50,0.001,mc_ts_noisy_hartmann6_L5_n100_dr1e1_lr1e3_noisy__seed0.pkl
mc,noisy_hartmann6,ts,60,50,5,-3.32237,-3.7524817589414656,50,631.909,4708.666,5,100,0.1,50,0.001,mc_ts_noisy_hartmann6_L5_n100_dr1e1_lr1e3_noisy__seed5.pkl
mc,noisy_hartmann6,ts,60,50,3,-3.32237,-3.6720810818386056,50,631.727,4770.645,5,100,0.1,50,0.001,mc_ts_noisy_hartmann6_L5_n100_dr1e1_lr1e3_noisy__seed3.pkl
mc,noisy_hartmann6,ts,60,50,2,-3.32237,-3.6855512346777637,50,628.005,4925.811,5,100,0.1,50,0.001,mc_ts_noisy_hartmann6_L5_n100_dr1e1_lr1e3_noisy__seed2.pkl
mc,noisy_shekel4,ts,40,50,4,-10.5363,-2.3552348029842745,50,483.534,5111.543,5,100,0.1,50,0.001,mc_ts_noisy_shekel4_L5_n100_dr1e1_lr1e3_noisy__seed4.pkl
mc,noisy_hartmann6,ts,60,50,1,-3.32237,-3.637456665816643,50,631.644,4977.066,5,100,0.1,50,0.001,mc_ts_noisy_hartmann6_L5_n100_dr1e1_lr1e3_noisy__seed1.pkl
mc,noisy_shekel4,ts,40,50,8,-10.5363,-5.290308610727355,50,484.743,5162.47,5,100,0.1,50,0.001,mc_ts_noisy_shekel4_L5_n100_dr1e1_lr1e3_noisy__seed8.pkl
mc,noisy_shekel4,ts,40,50,6,-10.5363,-7.790167188507021,50,475.397,5300.841,5,100,0.1,50,0.001,mc_ts_noisy_shekel4_L5_n100_dr1e1_lr1e3_noisy__seed6.pkl
mc,noisy_shekel4,ts,40,50,7,-10.5363,-8.799041158102876,50,478.065,5448.589,5,100,0.1,50,0.001,mc_ts_noisy_shekel4_L5_n100_dr1e1_lr1e3_noisy__seed7.pkl
mc,noisy_shekel4,ts,40,50,1,-10.5363,-4.9042548767292296,50,481.655,5461.204,5,100,0.1,50,0.001,mc_ts_noisy_shekel4_L5_n100_dr1e1_lr1e3_noisy__seed1.pkl
mc,noisy_shekel4,ts,40,50,0,-10.5363,-2.9239722167945317,50,479.204,5470.503,5,100,0.1,50,0.001,mc_ts_noisy_shekel4_L5_n100_dr1e1_lr1e3_noisy__seed0.pkl
mc,noisy_shekel4,ts,40,50,9,-10.5363,-6.045823855488804,50,476.094,5527.934,5,100,0.1,50,0.001,mc_ts_noisy_shekel4_L5_n100_dr1e1_lr1e3_noisy__seed9.pkl
mc,noisy_shekel4,ts,40,50,5,-10.5363,-4.3949318977703395,50,470.604,5613.136,5,100,0.1,50,0.001,mc_ts_noisy_shekel4_L5_n100_dr1e1_lr1e3_noisy__seed5.pkl
mc,noisy_shekel4,ts,40,50,3,-10.5363,-6.2813558672370755,50,473.6,5622.797,5,100,0.1,50,0.001,mc_ts_noisy_shekel4_L5_n100_dr1e1_lr1e3_noisy__seed3.pkl
mc,noisy_shekel4,ts,40,50,2,-10.5363,-7.1956977571079035,50,470.378,5625.478,5,100,0.1,50,0.001,mc_ts_noisy_shekel4_L5_n100_dr1e1_lr1e3_noisy__seed2.pkl
mc,noisy_hartmann6,ts,60,50,6,-3.32237,-3.836709277374608,50,320.364,2114.272,5,100,0.1,50,0.001,mc_ts_noisy_hartmann6_L5_n100_dr1e1_lr1e3_noisy__seed6.pkl
mc,noisy_hartmann6,ts,60,50,7,-3.32237,-3.7052446133685955,50,300.573,2225.786,5,100,0.1,50,0.001,mc_ts_noisy_hartmann6_L5_n100_dr1e1_lr1e3_noisy__seed7.pkl
mc,noisy_hartmann6,ts,60,50,9,-3.32237,-3.7407214015563155,50,282.072,2508.983,5,100,0.1,50,0.001,mc_ts_noisy_hartmann6_L5_n100_dr1e1_lr1e3_noisy__seed9.pkl
mc,noisy_hartmann6,ts,60,50,8,-3.32237,-3.6629142583141876,50,288.572,2633.319,5,100,0.1,50,0.001,mc_ts_noisy_hartmann6_L5_n100_dr1e1_lr1e3_noisy__seed8.pkl
